ID,LOGIN,REPO,FIRSTSEEN,ISFIRSTCONTRIBUTION
577,cdecker,dcrlnd,UNKNOWN,0
578,cpsola,dcrlnd,UNKNOWN,0
579,coonce,dcrlnd,UNKNOWN,0
580,dimitris-t,dcrlnd,UNKNOWN,0
581,ddustin,dcrlnd,UNKNOWN,0
582,f-a-a,dcrlnd,UNKNOWN,0
583,mably,dcrlnd,UNKNOWN,0
584,jnewbery,dcrlnd,UNKNOWN,0
585,jkandzi,dcrlnd,UNKNOWN,0
586,liuchengxu,dcrlnd,UNKNOWN,0
587,MaartenTutak,dcrlnd,UNKNOWN,0
588,murtyjones,dcrlnd,UNKNOWN,0
589,mtlynch,dcrlnd,UNKNOWN,0
590,Mrmaxmeier,dcrlnd,UNKNOWN,0
591,nabil-boag,dcrlnd,UNKNOWN,0
592,patwhite,dcrlnd,UNKNOWN,0
593,philippgille,dcrlnd,UNKNOWN,0
594,RCasatta,dcrlnd,UNKNOWN,0
595,thijstriemstra,dcrlnd,UNKNOWN,0
596,takinbo,dcrlnd,UNKNOWN,0
597,timo-schmid,dcrlnd,UNKNOWN,0
598,tsusanka,dcrlnd,UNKNOWN,0
599,tmc,dcrlnd,UNKNOWN,0
600,waltonseymour,dcrlnd,UNKNOWN,0
601,funyug,dcrlnd,UNKNOWN,0
602,hackerrdave,dcrlnd,UNKNOWN,0
603,juscamarena,dcrlnd,UNKNOWN,0
604,mkl-,dcrlnd,UNKNOWN,0
605,rajeshnair2k,dcrlnd,UNKNOWN,0
606,thesamesam,dcrlnd,UNKNOWN,0
607,jolan,dcrpayments,UNKNOWN,0
608,davecgh,dcrrpcclient,UNKNOWN,0
609,jrick,dcrrpcclient,UNKNOWN,0
610,dajohi,dcrrpcclient,UNKNOWN,0
611,cjepson,dcrrpcclient,UNKNOWN,0
612,jcvernaleo,dcrrpcclient,UNKNOWN,0
613,alexlyp,dcrrpcclient,UNKNOWN,0
614,chappjc,dcrrpcclient,UNKNOWN,0
615,RogueElement,dcrrpcclient,UNKNOWN,0
616,tuxcanfly,dcrrpcclient,UNKNOWN,0
617,jolan,dcrrpcclient,UNKNOWN,0
618,wallclockbuilder,dcrrpcclient,UNKNOWN,0
619,kargakis,dcrrpcclient,UNKNOWN,0
620,aakselrod,dcrrpcclient,UNKNOWN,0
621,dnldd,dcrrpcclient,UNKNOWN,0
622,runeaune,dcrrpcclient,UNKNOWN,0
623,apuigsech,dcrrpcclient,UNKNOWN,0
624,csmcanarney,dcrrpcclient,UNKNOWN,0
625,jimmysong,dcrrpcclient,UNKNOWN,0
626,tsenart,dcrrpcclient,UNKNOWN,0
627,waldyrious,dcrrpcclient,UNKNOWN,0
628,dan-da,dcrrpcclient,UNKNOWN,0
629,dajohi,dcrseeder,UNKNOWN,0
630,jolan,dcrstakepool,UNKNOWN,0
631,chappjc,dcrstakepool,UNKNOWN,0
632,dajohi,dcrstakepool,UNKNOWN,0
633,marcopeereboom,dcrstakepool,UNKNOWN,0
634,alexlyp,dcrstakepool,UNKNOWN,0
635,infertux,dcrstakepool,UNKNOWN,0
636,karamble,dcrstakepool,UNKNOWN,0
637,jrick,dcrstakepool,UNKNOWN,0
638,cjepson,dcrstakepool,UNKNOWN,0
639,girino,dcrstakepool,UNKNOWN,0
640,gratefulcheddar,dcrstakepool,UNKNOWN,0
641,dnldd,dcrstakepool,UNKNOWN,0
642,mverrilli,dcrstakepool,UNKNOWN,0
643,teknico,dcrstakepool,UNKNOWN,0
644,pedrotst,dcrstakepool,UNKNOWN,0
645,captain-redbeard,dcrstakepool,UNKNOWN,0
646,detailyang,dcrstakepool,UNKNOWN,0
647,hypernoob,dcrstakepool,UNKNOWN,0
648,zhizhongzhiwai,dcrstakepool,UNKNOWN,0
649,jcvernaleo,dcrticketbuyer,UNKNOWN,0
650,cjepson,dcrticketbuyer,UNKNOWN,0
651,alexlyp,dcrticketbuyer,UNKNOWN,0
652,tuxcanfly,dcrticketbuyer,UNKNOWN,0
653,dajohi,dcrticketbuyer,UNKNOWN,0
654,jolan,dcrticketbuyer,UNKNOWN,0
655,colt05-usr,dcrticketbuyer,UNKNOWN,0
656,dajohi,dcrtime,UNKNOWN,0
657,marcopeereboom,dcrtime,UNKNOWN,0
658,jcvernaleo,dcrtime,UNKNOWN,0
659,mrekucci,dcrtime,UNKNOWN,0
660,jrick,dcrtime,UNKNOWN,0
661,teknico,dcrtime,UNKNOWN,0
662,davecgh,dcrutil,UNKNOWN,0
663,jrick,dcrutil,UNKNOWN,0
664,dajohi,dcrutil,UNKNOWN,0
665,jcvernaleo,dcrutil,UNKNOWN,0
666,wallclockbuilder,dcrutil,UNKNOWN,0
667,alexlyp,dcrutil,UNKNOWN,0
668,dnldd,dcrutil,UNKNOWN,0
669,flammit,dcrutil,UNKNOWN,0
670,benma,dcrutil,UNKNOWN,0
671,chappjc,dcrutil,UNKNOWN,0
672,Roasbeef,dcrutil,UNKNOWN,0
673,waldyrious,dcrutil,UNKNOWN,0
674,cjepson,dcrutil,UNKNOWN,0
675,adiabat,dcrutil,UNKNOWN,0
676,jrick,dcrwallet,UNKNOWN,0
677,alexlyp,dcrwallet,UNKNOWN,0
678,dajohi,dcrwallet,UNKNOWN,0
679,jcvernaleo,dcrwallet,UNKNOWN,0
680,cjepson,dcrwallet,UNKNOWN,0
681,davecgh,dcrwallet,UNKNOWN,0
682,dnldd,dcrwallet,UNKNOWN,0
683,tuxcanfly,dcrwallet,UNKNOWN,0
684,matheusd,dcrwallet,UNKNOWN,0
685,jolan,dcrwallet,UNKNOWN,0
686,gsalgado,dcrwallet,UNKNOWN,0
687,raedah,dcrwallet,UNKNOWN,0
688,chappjc,dcrwallet,UNKNOWN,0
689,owainga,dcrwallet,UNKNOWN,0
690,githubsands,dcrwallet,UNKNOWN,0
691,kLkA,dcrwallet,UNKNOWN,0
692,marcopeereboom,dcrwallet,UNKNOWN,0
693,jimmysong,dcrwallet,UNKNOWN,0
694,manan19,dcrwallet,UNKNOWN,0
695,aerth,dcrwallet,UNKNOWN,0
696,larshesel,dcrwallet,UNKNOWN,0
697,markusrichter,dcrwallet,UNKNOWN,0
698,Roasbeef,dcrwallet,UNKNOWN,0
699,tsenart,dcrwallet,UNKNOWN,0
700,vctt94,dcrwallet,UNKNOWN,0
701,gallexis,dcrwallet,UNKNOWN,0
702,Chocanto,dcrwallet,UNKNOWN,0
703,C-ollins,dcrwallet,UNKNOWN,0
704,infertux,dcrwallet,UNKNOWN,0
705,fgimenez,dcrwallet,UNKNOWN,0
706,frankbraun,dcrwallet,UNKNOWN,0
707,frankcash,dcrwallet,UNKNOWN,0
708,gmelika,dcrwallet,UNKNOWN,0
709,JFixby,dcrwallet,UNKNOWN,0
710,ysangkok,dcrwallet,UNKNOWN,0
711,jongillham,dcrwallet,UNKNOWN,0
712,jzbz,dcrwallet,UNKNOWN,0
713,jyap808,dcrwallet,UNKNOWN,0
714,wallclockbuilder,dcrwallet,UNKNOWN,0
715,kargakis,dcrwallet,UNKNOWN,0
716,red010b37,dcrwallet,UNKNOWN,0
717,runeaune,dcrwallet,UNKNOWN,0
718,yashmankad,dcrwallet,UNKNOWN,0
719,rvacek,dcrwallet,UNKNOWN,0
720,karamble,dcrweb,UNKNOWN,0
721,jolan,dcrweb,UNKNOWN,0
722,peterzen,dcrweb,UNKNOWN,0
723,rmykolas,dcrweb,UNKNOWN,0
724,dajohi,dcrweb,UNKNOWN,0
725,jzbz,dcrweb,UNKNOWN,0
726,ZeroASIC,dcrweb,UNKNOWN,0
727,oktapodia,dcrweb,UNKNOWN,0
728,jholdstock,dcrweb,UNKNOWN,0
729,alexlyp,dcrweb,UNKNOWN,0
730,nickboariu,dcrweb,UNKNOWN,0
731,StabbarN,dcrweb,UNKNOWN,0
732,infertux,dcrweb,UNKNOWN,0
733,jcvernaleo,dcrweb,UNKNOWN,0
734,hypernoob,dcrweb,UNKNOWN,0
735,degeri,dcrweb,UNKNOWN,0
736,orthomind,dcrweb,UNKNOWN,0
737,AlanBarber,dcrweb,UNKNOWN,0
738,aldoiljazi,dcrweb,UNKNOWN,0
739,atweiden,dcrweb,UNKNOWN,0
740,Fsig,dcrweb,UNKNOWN,0
741,noahpierau,dcrweb,UNKNOWN,0
742,isaias,dcrweb,UNKNOWN,0
743,knightjdr,dcrweb,UNKNOWN,0
744,sumiflow,dcrweb,UNKNOWN,0
745,enviable,dcrweb,UNKNOWN,0
746,lukebp,dcrweb,UNKNOWN,0
747,marcopeereboom,dcrweb,UNKNOWN,0
748,d7km,dcrweb,UNKNOWN,0
749,ttneverdies,dcrweb,UNKNOWN,0
750,pvtwarren,dcrweb,UNKNOWN,0
751,dajohi,dcrwebapi,UNKNOWN,0
752,dnldd,dcrwebapi,UNKNOWN,0
753,d1pool,dcrwebapi,UNKNOWN,0
754,infertux,dcrwebapi,UNKNOWN,0
755,David00,dcrwebapi,UNKNOWN,0
756,dema501,dcrwebapi,UNKNOWN,0
757,brianbaligad,dcrwebapi,UNKNOWN,0
758,peterzen,dcrwebapi,UNKNOWN,0
759,detailyang,dcrwebapi,UNKNOWN,0
760,eball,dcrwebapi,UNKNOWN,0
761,feeleep75,dcrwebapi,UNKNOWN,0
762,kiahmed,dcrwebapi,UNKNOWN,0
763,lealife,dcrwebapi,UNKNOWN,0
764,qukuailianyonghu,dcrwebapi,UNKNOWN,0
765,saymissme,dcrwebapi,UNKNOWN,0
766,sriney-staked,dcrwebapi,UNKNOWN,0
767,jcvernaleo,decred-binaries,UNKNOWN,0
768,dajohi,decred-binaries,UNKNOWN,0
769,alexlyp,decred-binaries,UNKNOWN,0
770,jrick,decred-binaries,UNKNOWN,0
771,jolan,decred-binaries,UNKNOWN,0
772,raedah,decred-binaries,UNKNOWN,0
773,AlphaT3ch,decred-irc-price-bot,UNKNOWN,0
774,LifeMushroom,decred-irc-price-bot,UNKNOWN,0
775,JeDaYoshi,decred-irc-price-bot,UNKNOWN,0
776,jcvernaleo,decred-irc-price-bot,UNKNOWN,0
777,Dirbaio,decred-irc-price-bot,UNKNOWN,0
778,dajohi,decred-magento-plugin,UNKNOWN,0
779,R3VoLuT1OneR,decred-magento-plugin,UNKNOWN,0
780,R3VoLuT1OneR,decred-php-api,UNKNOWN,0
781,dajohi,decred-php-api,UNKNOWN,0
782,jcvernaleo,decred-release,UNKNOWN,0
783,dajohi,decred-release,UNKNOWN,0
784,marcopeereboom,decred-release,UNKNOWN,0
785,jolan,decred-release,UNKNOWN,0
786,Arriu,decred-release,UNKNOWN,0
787,jrick,decred-release,UNKNOWN,0
788,qbit,decred-release,UNKNOWN,0
789,alexlyp,decred-release,UNKNOWN,0
790,sipa,decred-seeder,UNKNOWN,0
791,luke-jr,decred-seeder,UNKNOWN,0
792,jonasschnelli,decred-seeder,UNKNOWN,0
793,petertodd,decred-seeder,UNKNOWN,0
794,jcvernaleo,decred-seeder,UNKNOWN,0
795,chappjc,decred-seeder,UNKNOWN,0
796,r000n,decred-seeder,UNKNOWN,0
797,JohnDolittle,decred-seeder,UNKNOWN,0
798,sickpig,decred-seeder,UNKNOWN,0
799,C-Otto,decred-seeder,UNKNOWN,0
800,martindale,decred-seeder,UNKNOWN,0
801,erkmos,decred-seeder,UNKNOWN,0
802,jrick,decred-seeder,UNKNOWN,0
803,laanwj,decred-seeder,UNKNOWN,0
804,marcopeereboom,decred-windows-installer,UNKNOWN,0
805,jcvernaleo,decred-windows-installer,UNKNOWN,0
806,jrick,decred-windows-installer,UNKNOWN,0
807,dajohi,decred-windows-installer,UNKNOWN,0
808,alexlyp,decrediton,UNKNOWN,0
809,matheusd,decrediton,UNKNOWN,0
810,jcvernaleo,decrediton,UNKNOWN,0
811,vctt94,decrediton,UNKNOWN,0
812,go1dfish,decrediton,UNKNOWN,0
813,sndurkin,decrediton,UNKNOWN,0
814,StabbarN,decrediton,UNKNOWN,0
815,Jascha-Sundaresan,decrediton,UNKNOWN,0
816,oktapodia,decrediton,UNKNOWN,0
817,dajohi,decrediton,UNKNOWN,0
818,jolan,decrediton,UNKNOWN,0
819,Jujhar,decrediton,UNKNOWN,0
820,szpasztor,decrediton,UNKNOWN,0
821,cipherzzz,decrediton,UNKNOWN,0
822,Thoughtscript,decrediton,UNKNOWN,0
823,jholdstock,decrediton,UNKNOWN,0
824,peterzen,decrediton,UNKNOWN,0
825,isLishude,decrediton,UNKNOWN,0
826,faelv,decrediton,UNKNOWN,0
827,jrick,decrediton,UNKNOWN,0
828,shweini,decrediton,UNKNOWN,0
829,brunobraga95,decrediton,UNKNOWN,0
830,rocknet,decrediton,UNKNOWN,0
831,josser,decrediton,UNKNOWN,0
832,druonysus,decrediton,UNKNOWN,0
833,ejovwokeononunu,decrediton,UNKNOWN,0
834,EvertonMelo,decrediton,UNKNOWN,0
835,hudovisk,decrediton,UNKNOWN,0
836,Kmaschta,decrediton,UNKNOWN,0
837,lukebp,decrediton,UNKNOWN,0
838,JohnOlushola,decrediton,UNKNOWN,0
839,karamble,decrediton,UNKNOWN,0
840,orthomind,decrediton,UNKNOWN,0
841,agl,ed25519,UNKNOWN,0
842,donovanhide,ed25519,UNKNOWN,0
843,dchest,ed25519,UNKNOWN,0
844,jcvernaleo,ed25519,UNKNOWN,0
845,cjepson,ed25519,UNKNOWN,0
846,jcvernaleo,gominer,UNKNOWN,0
847,jolan,gominer,UNKNOWN,0
848,dajohi,gominer,UNKNOWN,0
849,Dirbaio,gominer,UNKNOWN,0
850,cjepson,gominer,UNKNOWN,0
851,Baggins800,gominer,UNKNOWN,0
852,gabrielboliveira,gominer,UNKNOWN,0
853,chappjc,gominer,UNKNOWN,0
854,jrick,gominer,UNKNOWN,0
855,marcopeereboom,gominer,UNKNOWN,0
856,teknico,gominer,UNKNOWN,0
857,gratefulcheddar,gominer,UNKNOWN,0
858,alexlyp,hardforkdemo,UNKNOWN,0
859,karamble,hardforkdemo,UNKNOWN,0
860,dajohi,hardforkdemo,UNKNOWN,0
861,chappjc,hardforkdemo,UNKNOWN,0
862,davecgh,hardforkdemo,UNKNOWN,0
863,jholdstock,hardforkdemo,UNKNOWN,0
864,J-8,hardforkdemo,UNKNOWN,0
865,jolan,hardforkdemo,UNKNOWN,0
866,jolan,haste,UNKNOWN,0
867,jcvernaleo,haste,UNKNOWN,0
868,matiu,insight,UNKNOWN,0
869,cmgustavo,insight,UNKNOWN,0
870,colcodev,insight,UNKNOWN,0
871,maraoz,insight,UNKNOWN,0
872,bechi,insight,UNKNOWN,0
873,alexlyp,insight,UNKNOWN,0
874,martindale,insight,UNKNOWN,0
875,andrewfhart,insight,UNKNOWN,0
876,Eveiv,insight,UNKNOWN,0
877,dajohi,insight,UNKNOWN,0
878,jcvernaleo,insight,UNKNOWN,0
879,dabura667,insight,UNKNOWN,0
880,koirikivi,insight,UNKNOWN,0
881,ionux,insight,UNKNOWN,0
882,BlaiseExpMore25,insight,UNKNOWN,0
883,thesoftwarejedi,insight,UNKNOWN,0
884,jzbz,insight,UNKNOWN,0
885,jyap808,insight,UNKNOWN,0
886,Lennie,insight,UNKNOWN,0
887,PierreRochard,insight,UNKNOWN,0
888,saschad,insight,UNKNOWN,0
889,slavik0329,insight,UNKNOWN,0
890,visvirial,insight,UNKNOWN,0
891,yemel,insight,UNKNOWN,0
892,sandakersmann,insight,UNKNOWN,0
893,wozz,insight,UNKNOWN,0
894,matiu,insight-api,UNKNOWN,0
895,cmgustavo,insight-api,UNKNOWN,0
896,maraoz,insight-api,UNKNOWN,0
897,colcodev,insight-api,UNKNOWN,0
898,isocolsky,insight-api,UNKNOWN,0
899,eordano,insight-api,UNKNOWN,0
900,bechi,insight-api,UNKNOWN,0
901,alexlyp,insight-api,UNKNOWN,0
902,martindale,insight-api,UNKNOWN,0
903,Eveiv,insight-api,UNKNOWN,0
904,lordhelmut,insight-api,UNKNOWN,0
905,dajohi,insight-api,UNKNOWN,0
906,updatesthepoolist,insight-api,UNKNOWN,0
907,koirikivi,insight-api,UNKNOWN,0
908,abbshr,insight-api,UNKNOWN,0
909,ionux,insight-api,UNKNOWN,0
910,rhoop,insight-api,UNKNOWN,0
911,jl2035,insight-api,UNKNOWN,0
912,syst3mw0rm,insight-api,UNKNOWN,0
913,jcvernaleo,insight-api,UNKNOWN,0
914,Kefkius,insight-api,UNKNOWN,0
915,fanatid,insight-api,UNKNOWN,0
916,laudney,insight-api,UNKNOWN,0
917,bitstein,insight-api,UNKNOWN,0
918,shesek,insight-api,UNKNOWN,0
919,olalonde,insight-api,UNKNOWN,0
920,pnagurny,insight-api,UNKNOWN,0
921,peterzen,insight-api,UNKNOWN,0
922,pelim,insight-api,UNKNOWN,0
923,robjohnson189,insight-api,UNKNOWN,0
924,rktoomey,insight-api,UNKNOWN,0
925,YSTomar,insight-api,UNKNOWN,0
926,skddc,insight-api,UNKNOWN,0
927,slavik0329,insight-api,UNKNOWN,0
928,wtogami,insight-api,UNKNOWN,0
929,yemel,insight-api,UNKNOWN,0
930,devlo,insight-api,UNKNOWN,0
931,igarciaes,insight-api,UNKNOWN,0
932,periodic1236,insight-api,UNKNOWN,0
933,ralphtheninja,insight-api,UNKNOWN,0
934,ssotomayor,insight-api,UNKNOWN,0
935,adamdbradley,ionic,UNKNOWN,0
936,brandyscarney,ionic,UNKNOWN,0
937,mlynch,ionic,UNKNOWN,0
938,tlancina,ionic,UNKNOWN,0
939,drewrygh,ionic,UNKNOWN,0
940,mhartington,ionic,UNKNOWN,0
941,ajoslin,ionic,UNKNOWN,0
942,perrygovier,ionic,UNKNOWN,0
943,manucorporat,ionic,UNKNOWN,0
944,jbavari,ionic,UNKNOWN,0
945,danbucholtz,ionic,UNKNOWN,0
946,jgw96,ionic,UNKNOWN,0
947,matheusrocha89,ionic,UNKNOWN,0
948,3dd13,ionic,UNKNOWN,0
949,jthoms1,ionic,UNKNOWN,0
950,iignatov,ionic,UNKNOWN,0
951,briandennis,ionic,UNKNOWN,0
952,Ionitron,ionic,UNKNOWN,0
953,ciekawy,ionic,UNKNOWN,0
954,eddhannay,ionic,UNKNOWN,0
955,beautyfree,ionic,UNKNOWN,0
956,teleaziz,ionic,UNKNOWN,0
957,gfauchart,ionic,UNKNOWN,0
958,jccf091,ionic,UNKNOWN,0
959,JobEngel,ionic,UNKNOWN,0
960,joelbraga,ionic,UNKNOWN,0
961,kkarich,ionic,UNKNOWN,0
962,roblouie,ionic,UNKNOWN,0
963,wli,ionic,UNKNOWN,0
964,remithomas,ionic,UNKNOWN,0
965,abotz,ionic,UNKNOWN,0
966,hotforfeature,ionic,UNKNOWN,0
967,aggarwalankush,ionic,UNKNOWN,0
968,seunje,ionic,UNKNOWN,0
969,arvindch,ionic,UNKNOWN,0
970,Barryrowe,ionic,UNKNOWN,0
971,7200rpm,ionic,UNKNOWN,0
972,btroncone,ionic,UNKNOWN,0
973,ba0f3,ionic,UNKNOWN,0
974,codingcool21,ionic,UNKNOWN,0
975,bwalker72956,ionic,UNKNOWN,0
976,nbs,ionic,UNKNOWN,0
977,caestrada,ionic,UNKNOWN,0
978,luchillo17,ionic,UNKNOWN,0
979,chrisgriffith,ionic,UNKNOWN,0
980,dwieeb,ionic,UNKNOWN,0
981,dkro,ionic,UNKNOWN,0
982,DomiR,ionic,UNKNOWN,0
983,dotansimha,ionic,UNKNOWN,0
984,dusbuss,ionic,UNKNOWN,0
985,dylanvdmerwe,ionic,UNKNOWN,0
986,edanweis,ionic,UNKNOWN,0
987,mallowigi,ionic,UNKNOWN,0
988,eriktufvesson,ionic,UNKNOWN,0
989,EvgeniiVolkov,ionic,UNKNOWN,0
990,fareesh,ionic,UNKNOWN,0
991,flpwgr,ionic,UNKNOWN,0
992,rodriguesgm,ionic,UNKNOWN,0
993,ZiFFeL1992,ionic,UNKNOWN,0
994,jadsalhani,ionic,UNKNOWN,0
995,blackjid,ionic,UNKNOWN,0
996,juristr,ionic,UNKNOWN,0
997,keithdmoore,ionic,UNKNOWN,0
998,schlaus,ionic,UNKNOWN,0
999,lennykean,ionic,UNKNOWN,0
1000,louislarry,ionic,UNKNOWN,0
1001,lricoy,ionic,UNKNOWN,0
1002,marcusasplund,ionic,UNKNOWN,0
1003,nanexcool,ionic,UNKNOWN,0
1004,m5rk,ionic,UNKNOWN,0
1005,matheo,ionic,UNKNOWN,0
1006,LostPlayer99,ionic,UNKNOWN,0
1007,Doehl,ionic,UNKNOWN,0
1008,Merott,ionic,UNKNOWN,0
1009,michaelmafort,ionic,UNKNOWN,0
1010,nikhildev,ionic,UNKNOWN,0
1011,Pekes317,ionic,UNKNOWN,0
1012,perdjurner,ionic,UNKNOWN,0
1013,Tenvan,ionic,UNKNOWN,0
1014,rtomchinsky,ionic,UNKNOWN,0
1015,rapropos,ionic,UNKNOWN,0
1016,pakaerf,ionic,UNKNOWN,0
1017,imatefx,ionic,UNKNOWN,0
1018,stkem,ionic,UNKNOWN,0
1019,tlaverdure,ionic,UNKNOWN,0
1020,thiphariel,ionic,UNKNOWN,0
1021,thomasNDS,ionic,UNKNOWN,0
1022,tomsun,ionic,UNKNOWN,0
1023,trongrg,ionic,UNKNOWN,0
1024,voliva,ionic,UNKNOWN,0
1025,eakkew,ionic,UNKNOWN,0
1026,andrewmcgivery,ionic,UNKNOWN,0
1027,chuz93,ionic,UNKNOWN,0
1028,dorontal,ionic,UNKNOWN,0
1029,dustinwag,ionic,UNKNOWN,0
1030,flavordaaave,ionic,UNKNOWN,0
1031,itaydemri,ionic,UNKNOWN,0
1032,resalisbury,ionic,UNKNOWN,0
1033,sclausen,ionic,UNKNOWN,0
1034,tomaszkepa,ionic,UNKNOWN,0
1035,troyanskiy,ionic,UNKNOWN,0
1036,aurelien-iapp,node-addon-loader,UNKNOWN,0
1037,ushu,node-addon-loader,UNKNOWN,0
1038,alexlyp,node-addon-loader,UNKNOWN,0
1039,matheusd,node-addon-loader,UNKNOWN,0
1040,jrick,Paymetheus,UNKNOWN,0
1041,marcopeereboom,Paymetheus,UNKNOWN,0
1042,jcvernaleo,Paymetheus,UNKNOWN,0
1043,cjepson,Paymetheus,UNKNOWN,0
1044,dajohi,Paymetheus,UNKNOWN,0
1045,tuxcanfly,Paymetheus,UNKNOWN,0
1046,marcopeereboom,politeia,UNKNOWN,0
1047,sndurkin,politeia,UNKNOWN,0
1048,lukebp,politeia,UNKNOWN,0
1049,fernandoabolafio,politeia,UNKNOWN,0
1050,dajohi,politeia,UNKNOWN,0
1051,vctt94,politeia,UNKNOWN,0
1052,tiagoalvesdulce,politeia,UNKNOWN,0
1053,rgeraldes,politeia,UNKNOWN,0
1054,thi4go,politeia,UNKNOWN,0
1055,jolan,politeia,UNKNOWN,0
1056,AlanL1,politeia,UNKNOWN,0
1057,camus-code,politeia,UNKNOWN,0
1058,davecgh,politeia,UNKNOWN,0
1059,decebal,politeia,UNKNOWN,0
1060,EvertonMelo,politeia,UNKNOWN,0
1061,hsanjuan,politeia,UNKNOWN,0
1062,wallclockbuilder,politeia,UNKNOWN,0
1063,rrecuero,politeia,UNKNOWN,0
1064,RichardRed0x,politeia,UNKNOWN,0
1065,s-ben,politeia,UNKNOWN,0
1066,victorgcramos,politeia,UNKNOWN,0
1067,degeri,politeia,UNKNOWN,0
1068,lte13,politeia,UNKNOWN,0
1069,sudoscript,politeia,UNKNOWN,0
1070,fernandoabolafio,politeiagui,UNKNOWN,0
1071,tiagoalvesdulce,politeiagui,UNKNOWN,0
1072,sndurkin,politeiagui,UNKNOWN,0
1073,go1dfish,politeiagui,UNKNOWN,0
1074,dajohi,politeiagui,UNKNOWN,0
1075,oktapodia,politeiagui,UNKNOWN,0
1076,thi4go,politeiagui,UNKNOWN,0
1077,camus-code,politeiagui,UNKNOWN,0
1078,vctt94,politeiagui,UNKNOWN,0
1079,victorgcramos,politeiagui,UNKNOWN,0
1080,rrecuero,politeiagui,UNKNOWN,0
1081,RichardRed0x,politeiagui,UNKNOWN,0
1082,marcopeereboom,politeiagui,UNKNOWN,0
1083,s-ben,politeiagui,UNKNOWN,0
1084,degeri,politeiagui,UNKNOWN,0
1085,AlanL1,politeiagui,UNKNOWN,0
1086,igniteeng000,politeiagui,UNKNOWN,0
1087,brunobraga95,politeiagui,UNKNOWN,0
1088,derekdkim,politeiagui,UNKNOWN,0
1089,jholdstock,politeiagui,UNKNOWN,0
1090,rgeraldes,politeiagui,UNKNOWN,0
1091,gozart1,politeiagui,UNKNOWN,0
1092,hypernoob,politeiagui,UNKNOWN,0
1093,lte13,politeiagui,UNKNOWN,0
1094,lukebp,politeiagui,UNKNOWN,0
1095,orthomind,politeiagui,UNKNOWN,0
1096,tnguyen303,politeiagui,UNKNOWN,0
1097,andrerpena,react-mde,UNKNOWN,0
1098,greenkeeper[bot],react-mde,UNKNOWN,0
1099,pwolaq,react-mde,UNKNOWN,0
1100,michaelryancaputo,react-mde,UNKNOWN,0
1101,JedWatson,react-select,UNKNOWN,0
1102,bruderstein,react-select,UNKNOWN,0
1103,bvaughn,react-select,UNKNOWN,0
1104,jossmac,react-select,UNKNOWN,0
1105,dcousens,react-select,UNKNOWN,0
1106,agirton,react-select,UNKNOWN,0
1107,craigdallimore,react-select,UNKNOWN,0
1108,jochenberger,react-select,UNKNOWN,0
1109,DanielHeath,react-select,UNKNOWN,0
1110,dmatteo,react-select,UNKNOWN,0
1111,julen,react-select,UNKNOWN,0
1112,khankuan,react-select,UNKNOWN,0
1113,brianreavis,react-select,UNKNOWN,0
1114,jooj123,react-select,UNKNOWN,0
1115,MrLeebo,react-select,UNKNOWN,0
1116,dmitry-smirnov,react-select,UNKNOWN,0
1117,gojohnnygo,react-select,UNKNOWN,0
1118,rockallite,react-select,UNKNOWN,0
1119,jgautsch,react-select,UNKNOWN,0
1120,trmjoa,react-select,UNKNOWN,0
1121,ryanzec,react-select,UNKNOWN,0
1122,frankievx,react-select,UNKNOWN,0
1123,the-spyke,react-select,UNKNOWN,0
1124,esiqveland,react-select,UNKNOWN,0
1125,thatfrankdev,react-select,UNKNOWN,0
1126,mattdell,react-select,UNKNOWN,0
1127,ondrejhlavacek,react-select,UNKNOWN,0
1128,slybridges,react-select,UNKNOWN,0
1129,Fauntleroy,react-select,UNKNOWN,0
1130,lomteslie,react-select,UNKNOWN,0
1131,DullReferenceException,react-select,UNKNOWN,0
1132,mondaychen,react-select,UNKNOWN,0
1133,nhducit,react-select,UNKNOWN,0
1134,0xCMP,react-select,UNKNOWN,0
1135,jsmunich,react-select,UNKNOWN,0
1136,fhelwanger,react-select,UNKNOWN,0
1137,aaronpowell,react-select,UNKNOWN,0
1138,thezanke,react-select,UNKNOWN,0
1139,AlexKVal,react-select,UNKNOWN,0
1140,akud82,react-select,UNKNOWN,0
1141,leesiongchan,react-select,UNKNOWN,0
1142,radixhound,react-select,UNKNOWN,0
1143,ericj17,react-select,UNKNOWN,0
1144,brigand,react-select,UNKNOWN,0
1145,Calvein,react-select,UNKNOWN,0
1146,HuysentruytRuben,react-select,UNKNOWN,0
1147,oliger,react-select,UNKNOWN,0
1148,jonashaag,react-select,UNKNOWN,0
1149,mcls,react-select,UNKNOWN,0
1150,mshwery,react-select,UNKNOWN,0
1151,mwilliamson,react-select,UNKNOWN,0
1152,bulby97,react-select,UNKNOWN,0
1153,nickhudkins,react-select,UNKNOWN,0
1154,pbrant,react-select,UNKNOWN,0
1155,PetrGlad,react-select,UNKNOWN,0
1156,rdsubhas,react-select,UNKNOWN,0
1157,rovolution,react-select,UNKNOWN,0
1158,tonydecat,react-select,UNKNOWN,0
1159,wesrage,react-select,UNKNOWN,0
1160,willdavidow,react-select,UNKNOWN,0
1161,burtyish,react-select,UNKNOWN,0
1162,cbergmiller,react-select,UNKNOWN,0
1163,fmovlex,react-select,UNKNOWN,0
1164,fraserxu,react-select,UNKNOWN,0
